Token	POS-Tag	Sentence
crioulo	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
que	PRON	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
talvez	ADV	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
houvesse	AUX	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
nascido	VERB	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
com	ADP	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
felizes	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
disposições	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
naturais	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
:	PUNCT	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
o	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
ódio	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
aos	ADP	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
senhores	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
já	ADV	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
estava	AUX	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
incubado	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
na	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
alma	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
do	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
escravo	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
;	PUNCT	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
só	ADV	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
faltava	VERB	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
para	SCONJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
desenvolvê-lo	VERB	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
o	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
calor	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
mais	ADV	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
forte	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
da	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
ação	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
do	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
domínio	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
absoluto	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
que	PRON	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
Simeão	PROPN	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
acabava	VERB	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
de	SCONJ	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
contar	VERB	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
dezenove	NUM	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
anos	NOUN	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
e	CCONJ	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
nunca	ADV	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
houvera	VERB	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
sofrido	VERB	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
Vira	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
por	ADP	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
vezes	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
o	DET	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
quadro	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
repulsivo	ADJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
dessas	ADP	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
punições	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
que	PRON	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
são	AUX	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
indeclináveis	ADJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
nas	DET	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
fazendas	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
,	PUNCT	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
mas	CCONJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
nem	CCONJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
por	ADP	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
isso	PRON	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
menos	ADV	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
contristadoras	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
,	PUNCT	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
e	CCONJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
de	ADP	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
cada	DET	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
vez	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
que	SCONJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
os	PRON	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
vira	VERB	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
,	PUNCT	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
experimentara	VERB	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
abalo	NOUN	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
profundo	ADJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
e	CCONJ	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
seguido	VERB	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
de	ADP	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
Entretanto	ADV	Entretanto Domingos e Angélica eram senhores bons e humanos.
Domingos	PROPN	Entretanto Domingos e Angélica eram senhores bons e humanos.
e	CCONJ	Entretanto Domingos e Angélica eram senhores bons e humanos.
Angélica	PROPN	Entretanto Domingos e Angélica eram senhores bons e humanos.
eram	AUX	Entretanto Domingos e Angélica eram senhores bons e humanos.
senhores	NOUN	Entretanto Domingos e Angélica eram senhores bons e humanos.
bons	ADJ	Entretanto Domingos e Angélica eram senhores bons e humanos.
e	CCONJ	Entretanto Domingos e Angélica eram senhores bons e humanos.
humanos	ADJ	Entretanto Domingos e Angélica eram senhores bons e humanos.
.	PUNCT	Entretanto Domingos e Angélica eram senhores bons e humanos.
Um	NUM	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
dia	NOUN	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
quase	ADV	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
ao	DET	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
pôr-do-sol	NOUN	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
Florinda	PROPN	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
,	PUNCT	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
que	PRON	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
aliás	ADV	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
protegia	VERB	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
muito	ADV	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
Simeão	PROPN	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
,	PUNCT	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
surpreendeu-o	VERB	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
,	PUNCT	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
saindo	VERB	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
do	DET	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
quarto	NOUN	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
de	ADP	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
seus	DET	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
pais	NOUN	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
,	PUNCT	Um dia quase ao pôr-do-sol Florinda, que aliás protegia muito Simeão, surpreendeu-o, saindo do quarto de seus pais, e no ato de esconder um objeto no bolso.
