Token	Sentença
:	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
o	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
ódio	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
aos	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
senhores	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
já	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
estava	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
inc	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
##ub	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
##ado	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
na	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
alma	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
do	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
escravo	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
;	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
só	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
falta	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
##va	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
para	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
desenvol	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
##vê	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
-	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
lo	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
o	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
calor	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
mais	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
forte	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
da	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
ação	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
do	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
domínio	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
absoluto	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
que	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
des	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
##uman	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
##iza	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
o	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
homem	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
a	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
ele	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
sujeito	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
.	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
[SEP]	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
[CLS]	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
Sim	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
##e	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
##ão	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
acaba	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
##va	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
de	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
contar	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
dezenove	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
anos	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
e	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
nunca	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
houver	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
##a	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
sofrido	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
cas	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
##tigo	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
algum	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
corporal	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
.	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
[SEP]	Simeão acabava de contar dezenove anos e nunca houvera sofrido casti­go algum corporal.
[CLS]	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
Vir	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##a	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
por	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
vezes	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
o	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
quadro	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
repu	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##ls	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##ivo	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
dessas	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
pun	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##ições	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
que	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
são	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
inde	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##cl	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##in	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##áveis	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
nas	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
fazendas	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
,	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
mas	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
nem	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
por	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
isso	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
menos	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
contr	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##ista	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##doras	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
,	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
e	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
de	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
cada	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
vez	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
que	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
os	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
vira	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
,	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
experimentar	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
##a	Vira por vezes o quadro repulsivo dessas punições que são indeclináveis nas fazendas, mas nem por isso menos contristadoras, e de cada vez que os vira, experimentara abalo profundo e seguido de me­lancolia que durava horas: não falava, não manifestava por palavras ou queixas o que sentia; mas dentro de si estava dizendo: “e também eu posso ser castigado assim!
